NEVOgroep|product_naam_f|energiewaardeinkcal_kcal|eiwittotaal_g|vettotaal_g|vetzurenverzadigd_g|zout_g|koolhydraten_g|monoendisacchariden_g|ingredienttekst
Aardappelen en knolgewassen|Stevigkokende piepers 1kg|84.0|2.0|0.0|||19.0||
Aardappelen en knolgewassen|Knijpelijke knolletjes 1kg|84.0|2.0|0.0|||19.0||
Fruit|Fs - plakjes kiwi|64.0|0.9|0.8|0.2|0.008|12.2|10.3|kiwi.
Fruit|Greenie Kiwi|64.0|0.9|0.8|0.2|0.0|12.0|10.0|
Vlees en gevogelte|Kipboutjes halal|163.0|18.4|10.0|2.9|0.175|0.0|0.0|100% Kippenvlees.
Vlees en gevogelte|Kipfilet bakstukjes 350g nsk|163.0|17.0|10.6|4.028|0.163|0.0|0.0|Kippenvlees.
Aardappelen en knolgewassen|Knisperige snellaardappelen|90.0|2.0|0.0||0.0|19.0|1.0|
Aardappelen en knolgewassen|Super flinke aardappelen|90.0|2.0|0.0|0.0|0.0|19.0|1.0|
Aardappelen en knolgewassen|Branda pk rots aardappelen 1 kg|88.0|2.0|0.0|0.0||19.0|1.0|
Gebak en koek|Karnemelk chocospritsjes|476.0|4.9|25.2|17.8|0.72|56.6|26.6|TARWEbloem, suiker, 24% ROOMBOTER, cacaomassa, cacaopoeder, invertsuikerstroop, zout, magere cacaopoeder, TARWEzetmeel, vanille, rijsmiddel: E500, E341, emulgator: E322, kleurstof: E160a, aroma.
Aardappelen en knolgewassen|Robuuste piepers|88.0|2.0|0.0||0.1|19.0|1.0|
Aardappelen en knolgewassen|Zoeka zachte aardappelen 5 kg|84.0|2.0|0.0|||19.0||
Aardappelen en knolgewassen|Krumbeltje aardappeltjes|88.0|2.0|0.0|0.0|0.0|19.0|1.0|EU/niet-EU Landbouw.
Aardappelen en knolgewassen|2 kg stevigkookend|88.0|2.0|0.0||0.005|19.0|1.0|Aardappelen.
Aardappelen en knolgewassen|1 kg stevigkookend|88.0|2.0|0.0||0.005|19.0|1.0|Aardappelen.
Aardappelen en knolgewassen|Krokante aardappelen premium groot 5kg|81.0|2.0|0.2|0.0|0.025|16.8|0.0|Aardappel.
Fruit|Perenpuree 0% toegevoegd suikers|51.0|0.3|0.4|0.2|0.03|11.0|9.5|Appelen, antioxidant: ascorbinezuur, citroenconcentraat
Fruit|Fruvero 100% appelmoes puur|52.0|0.3|0.0|0.0|0.0|12.0|12.0|Ingrediënten: appel (van biologische oorsprong).
Hartige sauzen|"Sambora ketjap manis
100% puur
glutenvrij"|258.0|5.9|0.3|0.1|10.0|58.0|50.0|Ingrediënten: Melasse, water, suiker, zout, natuurazijn, sojasaus (water, sojasauspoeder (sojabonen, zout, maltose)), natuurlijke aroma's.
Hartige sauzen|Kooken Joya soya glaze deluxe 250 ml|285.0|1.0|0.5|0.1|12.5|70.0|70.0|"Ingrediënten:
Suiker, dubbel gefermenteerde sojasaus 22,4% (water, melasse, zout, SOJABOON, TARWEBLOEM, voedingszuur E260, conserveermiddel E202), water, melasse, zout, conserveermiddel E202."
Vleeswaren|Limburgse vleesworst xl|306.0|13.0|27.5|10.0|1.9|1.7|1.2|varkensvlees Beter Leven 1 ster 35%, varkenslever Beter Leven 1 ster 31%, varkensspek Beter Leven 1 ster, varkenscollageen Beter Leven 1 ster, bouillon, zout, witte peper, tomatenpuree, varkenshemoglobine, dextrose, suiker, smaakversterker: E621, azijn, g
Vleeswaren|Silsische leverworst|334.0|13.0|31.0|10.0|1.9|1.7|1.2|Ingredienten: 35% varkensvlees, 31% varkenslever, varkensspek, varkenscollageen, bouillon, zout, specerijen, kruiden, tomatenpuree, varkenshemoglobine, dextrose, suiekr, azijn, glucosestroop, ui, gistextract, prei, aroma, conserveermiddel: E250
Vleeswaren|Fryske leverworst 5x30gr|334.0|13.0|31.0|10.0|1.9|1.7|1.2|Ingrediënten: 35% varkensvlees, 31% varkenslever, varkensspek, varkenscollageen, varkensbouillon, zout, specerijen, kruiden, tomatenpuree, varkenshemoglobine, dextrose, suiker, azijn, glucosestroop, ui, gistextract, prei, aroma, conserveermiddel: E250.
Vlees en gevogelte|Kraamvers kip knaagsticks 4 stuks|163.0|18.4|10.0|2.9|0.18|0.0|0.0|100% kippenvlees
Brood|Krokotte 250g zes granen mix|367.0|11.0|3.4|0.9|0.74|71.0|12.0|Ingrediënten: Granen 90,3% (TARWEBLOEM 64,3%, VOLKORENHAVERMEEL 8,9%, quinoa bloem 6,6%, rijstbloem 5,5%, gemoute GERSTEBLOEM 5,0%), suiker, TARWEKIEMEN, weipoeder (van MELK), palmolie, zout, mineraal (ijzerpyrofosfaat), emulgator (zonnebloemlecithine).
Groente|Komkommers mild zoetzuur|13.0|0.6|0.2|0.1|0.7|1.0|1.0|Augurk, water, azijn, zout, natuurlijk aroma, zoetstof: E954
Groente|Komkommers mild zoetzuur|31.0|0.6|0.2|0.1|0.7|5.5|5.5|Augurken, water, azijn, suiker, zout, MOSTERDZAAD, dille, paprika, ui, natuurlijk aroma.
Groente|Zuurzoete Komkommers|31.0|0.6|0.2|0.1|0.7|5.5|5.5|Augurken, water, azijn, suiker, zout, MOSTERDZAAD, dille, paprika, ui, aroma.
Groente|Krachtig komkommers breedleggers honingsuiker 540 g|36.0|0.9|0.0|0.0|0.7|7.5|7.5|Augurk, water, azijn, suiker, zout, mosterdzaad, aroma, kleurstof: E101, E = door EU goedgekeurde hulpstoffen.
Groente|Absolut augurkenpartjes mildzuur 2500 g|14.0|0.6|0.1|0.1|1.2|1.4|1.2|Augurken, natuurazijn, zout, glucose-fructosestroop, suiker, natuurlijk aroma, zoetstof: sacharinen, kleurstof: riboflavinen
Groente|Koolrotsla||||||||
Groente|Frostblad met veldkruiden|18.0|1.055|0.335|0.0|0.036|2.015|1.615|95% IJsbergsla, 2,5% bieslook, 2,5% dille.
Groente|Sneeuwbergsla met Kruidentuin|17.0|1.0|0.3|0.0|0.0|1.9|1.6|97% ijsbergsla, 1% peterselie, 1% bieslook, 1% kervel, melkzuurculturen
Vlees en gevogelte|Rundsteak|108.0|22.9|1.8|0.7|0.12|0.0|0.0|Ingrediënten: 100% rundvlees.
Groente|Tomatensmidjée|91.0|4.8|1.0|0.15|1.02|14.5|14.5|Tomatenpuree, zout.
Flesvoeding en preparaten|Geitenkracht navolgmix 3|67.0|1.6|3.7|1.5|0.05|6.9|6.9|biologische volle geitenmelkpoeder (MELK), biologische lactose (MELK), biologische plantaardige oliën (zonnebloemolie, laag-erucazuur raapzaadolie), biologische galacto-oligosaccharide stroop (GOS) (MELK), algenoliepoeder (DHA) (MELK), mineralen (calciumh
Groente|Wortelhaasjes delicaat|23.0|0.5|0.5|0.2|0.31|2.7|2.5|Wortelen, water, zout, antioxidant: E300.
Groente|Miniworteltjes delicaat|23.0|0.6|0.3|0.2|0.3|3.6|2.3|Ingrediënten: wortel, water, zout.
Groente|Worteltjes fijngeperst|23.0|0.5|0.5|0.2|0.24|2.7|2.5|Wortelen, water, zout, antioxidant: ascorbinezuur
Vlees en gevogelte|Rol gehakt kilo smaakvol|291.39|15.15|24.75|5.6|1.48|1.29|0.15|Ingrediënten: varkensvlees (48%), rundvlees (48%), zout, kruiden & specerijen, voedingszuur(E325, E330), dextrose, anti-oxidant(E300).
Vlees en gevogelte|Duox burgers bronker 160 gr|263.0|17.0|20.0|8.6|2.0|6.2|0.5|Ingrediënten:Vlees 80% (varkensvlees, rundvlees), paneermeel (TARWEBLOEM, gist, zout), water, aardappelzetmeel, zout, aroma, gistextract, stabilisator (E451, E452), specerijen, nootmuskaatextract.
Groente|Goudpeerltjes / augurken mix|35.0|1.0|0.0|0.0|2.2|7.0|7.0|Ingrediënten: augurkjes (SULFIET), zilveruitjes (SULFIET), water, suiker, azijn, zout, aroma
Groente|SmaaktFijn pekelknolletjes zoet-pikant 320 g|39.0|0.6|0.1|0.0|0.7|8.0|8.0|Zilveruien, water, azijn, suiker, zout, aroma, antioxidant: E223 (sulfiet), E = door EU goedgekeurde hulpstoffen.
Aardappelen en knolgewassen|Pom' wonder vers, frisch, fresh, frais, fresco, kølede, ?erstvé|150.0|2.5|5.0|2.5|0.1|23.0|0.2|Ingrediënten: aardappelen, palmolie
Aardappelen en knolgewassen|De keuken van België|135.0|2.5|3.5|1.8|0.1|21.5|0.4|Ingrediënten: aardappelen, palmolie
Aardappelen en knolgewassen|Krispies|132.0|2.6|4.9|0.8|0.038|17.5|0.12|aardappelen, zonnebloemolie.
Aardappelen en knolgewassen|Bevroren voorgegaarde Belgische frieten|124.0|2.2|2.6|0.5|0.07|22.0|0.5|97% Aardappelen, zonnebloemolie, dextrose
Aardappelen en knolgewassen|Verse vlaamse frites|140.0|2.5|3.5|1.0|0.1|23.0|0.5|Ingrediënten: Aardappel, plantaardige olie (zonnebloem, palm).
